PropertyID,PropType,taxkey,Address,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude
860050.0,Residential,2790121000.0,3400 N CRAMER ST,3.0,3160.0,Milwaukee Bungalow,1.5,1927.0,9.0,,1.0,5.0,2.0,0.0,4720.0,12/7/2020,370000.0,"3400 N CRAMER ST,Milwaukee,wisconsin",43.079605650000005,-87.88618191405271
859683.0,Residential,2790122000.0,3497 N CRAMER ST,3.0,3160.0,Res O/S A & 1/2,1.5,1927.0,6.0,,1.0,3.0,2.0,0.0,4680.0,10/27/2020,329000.0,"3497 N CRAMER ST,Milwaukee,wisconsin",43.0817694,-87.88675955075638
860026.0,Residential,2790132000.0,3449-3451 N CRAMER ST,3.0,3160.0,Dplx Bungalow,2.0,1924.0,11.0,,2.0,5.0,2.0,1.0,4800.0,11/30/2020,377000.0,"3449-3451 N CRAMER ST,Milwaukee,wisconsin",43.070990169404084,-87.88667690458104
853140.0,Residential,2790135000.0,3437 N CRAMER ST,3.0,3160.0,Milwaukee Bungalow,1.0,1926.0,7.0,,1.0,4.0,2.0,0.0,4800.0,6/2/2020,230000.0,"3437 N CRAMER ST,Milwaukee,wisconsin",43.0803566,-87.8868008010279
856158.0,Residential,2790169000.0,3316-3318 N CRAMER ST,3.0,3160.0,Dplx Bungalow,2.0,1923.0,11.0,,2.0,4.0,2.0,0.0,5080.0,8/20/2020,280000.0,"3316-3318 N CRAMER ST,Milwaukee,wisconsin",43.070990169404084,-87.88667690458104
861421.0,Residential,2790179000.0,3249 N CRAMER ST,3.0,3160.0,Milwaukee Bungalow,1.0,1920.0,7.0,,1.0,4.0,2.0,0.0,5400.0,12/9/2020,375000.0,"3249 N CRAMER ST,Milwaukee,wisconsin",43.07678515,-87.8869003802598
854690.0,Residential,2790313000.0,3432 N FREDERICK AV,3.0,3060.0,Residence O/S 2sty+,2.0,1926.0,8.0,,1.0,4.0,2.0,0.0,7050.0,7/20/2020,325000.0,"3432 N FREDERICK AV,Milwaukee,wisconsin",43.08026325,-87.88371067656252
858224.0,Residential,2790326000.0,3453-3455 N FREDERICK AV,3.0,3060.0,Dplx Bungalow,2.0,1924.0,14.0,,2.0,8.0,3.0,0.0,6650.0,10/30/2020,340000.0,"3453-3455 N FREDERICK AV,Milwaukee,wisconsin",43.06496764700873,-87.88428391763271
853835.0,Residential,2790340000.0,3424 N MURRAY AV,3.0,3060.0,Milwaukee Bungalow,1.0,1924.0,8.0,,1.0,3.0,1.0,0.0,6384.0,7/8/2020,313500.0,"3424 N MURRAY AV,Milwaukee,wisconsin",43.08013685,-87.8849204126489
855188.0,Residential,2790525000.0,3354-3356 N OAKLAND AV,3.0,3160.0,Dplx Bungalow,2.0,1915.0,12.0,,2.0,6.0,2.0,0.0,4800.0,7/31/2020,282000.0,"3354-3356 N OAKLAND AV,Milwaukee,wisconsin",43.06533500877641,-87.8880052925183
851944.0,Residential,2790526000.0,3348-3350 N OAKLAND AV,3.0,3160.0,Dplx Bungalow,2.0,1915.0,10.0,,2.0,4.0,2.0,0.0,4800.0,4/28/2020,297100.0,"3348-3350 N OAKLAND AV,Milwaukee,wisconsin",43.06533500877641,-87.8880052925183
857860.0,Residential,2790532000.0,3316-3318 N OAKLAND AV,3.0,3160.0,Dplx Bungalow,2.0,1915.0,11.0,,2.0,5.0,2.0,0.0,4800.0,9/23/2020,270000.0,"3316-3318 N OAKLAND AV,Milwaukee,wisconsin",43.06533500877641,-87.8880052925183
852847.0,Residential,2790554000.0,3126 N OAKLAND AV,3.0,3160.0,Residence O/S 2sty+,2.0,1921.0,7.0,,1.0,3.0,1.0,1.0,4800.0,6/3/2020,290000.0,"3126 N OAKLAND AV,Milwaukee,wisconsin",43.07528135,-87.88756381083651
853738.0,Residential,2800011000.0,1130 E CONCORDIA AV,3.0,3320.0,Ranch,1.0,1954.0,5.0,,1.0,3.0,1.0,1.0,4720.0,6/24/2020,250000.0,"1130 E CONCORDIA AV,Milwaukee,wisconsin",43.079096,-87.89668017395834
855268.0,Residential,2800013000.0,3336 N DOUSMAN ST,3.0,3320.0,Dplx Bungalow,1.5,1931.0,10.0,,2.0,4.0,2.0,0.0,4720.0,8/4/2020,260000.0,"3336 N DOUSMAN ST,Milwaukee,wisconsin",43.079225199999996,-87.89605788644366
852567.0,Residential,2800223000.0,3116 N DOUSMAN ST,3.0,3320.0,Dplx Bungalow,1.5,1926.0,11.0,,2.0,3.0,2.0,0.0,3600.0,5/27/2020,235000.0,"3116 N DOUSMAN ST,Milwaukee,wisconsin",43.07516715,-87.89624097496498
856330.0,Residential,2801011000.0,3112-3114 N BARTLETT AV,3.0,3150.0,Duplex O/S,2.0,1908.0,12.0,,2.0,8.0,3.0,0.0,3600.0,8/17/2020,310000.0,"3112-3114 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.88910878067233
852797.0,Residential,2801014000.0,3124 N BARTLETT AV,3.0,3150.0,Res O/S A & 1/2,1.0,1892.0,6.0,,1.0,3.0,1.0,0.0,3840.0,4/30/2020,230000.0,"3124 N BARTLETT AV,Milwaukee,wisconsin",43.075311549999995,-87.88882664437065
852576.0,Residential,2801016000.0,3132-3134 N BARTLETT AV,3.0,3150.0,Duplex O/S,2.0,1912.0,10.0,,2.0,7.0,2.0,1.0,3600.0,6/1/2020,378000.0,"3132-3134 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.88910878067233
859754.0,Residential,2801017000.0,3136-3138 N BARTLETT AV,3.0,3150.0,Duplex O/S,2.0,1912.0,13.0,,2.0,6.0,3.0,0.0,3600.0,11/5/2020,372000.0,"3136-3138 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.88910878067233
855381.0,Residential,2801046000.0,3101-3103 N NEWHALL ST,3.0,3150.0,Triplex,3.0,2002.0,0.0,,3.0,9.0,3.0,3.0,3600.0,7/28/2020,475000.0,"3101-3103 N NEWHALL ST,Milwaukee,wisconsin",43.05912657531614,-87.89054104309288
860033.0,Residential,2801049000.0,3112 N CAMBRIDGE AV,3.0,3150.0,Duplex O/S,2.0,1912.0,7.0,,2.0,2.0,2.0,0.0,3600.0,11/12/2020,230000.0,"3112 N CAMBRIDGE AV,Milwaukee,wisconsin",43.07507675,-87.89123781898577
858384.0,Residential,2801056000.0,3277 N NEWHALL ST,3.0,3150.0,Res O/S A & 1/2,1.5,1897.0,7.0,,1.0,4.0,1.0,1.0,3600.0,8/27/2020,208502.0,"3277 N NEWHALL ST,Milwaukee,wisconsin",43.0773621,-87.89050868511046
849869.0,Residential,2801069000.0,3217 N NEWHALL ST,3.0,3150.0,Duplex O/S,1.5,1905.0,10.0,,2.0,5.0,2.0,0.0,4200.0,3/10/2020,240000.0,"3217 N NEWHALL ST,Milwaukee,wisconsin",43.076134350000004,-87.89058202108708
857887.0,Residential,2801074000.0,3210-3212 N CAMBRIDGE AV,3.0,3150.0,Dplx Bungalow,1.5,1925.0,10.0,,2.0,4.0,2.0,0.0,5040.0,9/25/2020,255000.0,"3210-3212 N CAMBRIDGE AV,Milwaukee,wisconsin",43.0770954062713,-87.89146364321992
855469.0,Residential,2801093000.0,3269 N BARTLETT AV,3.0,3150.0,Res O/S A & 1/2,1.0,1905.0,5.0,,1.0,3.0,2.0,0.0,3600.0,8/10/2020,227000.0,"3269 N BARTLETT AV,Milwaukee,wisconsin",43.07718295,-87.88930838800624
853653.0,Residential,2801106000.0,3207 N BARTLETT AV,3.0,3150.0,Duplex O/S,1.5,1901.0,9.0,,2.0,5.0,3.0,0.0,3600.0,6/18/2020,230000.0,"3207 N BARTLETT AV,Milwaukee,wisconsin",43.075863749999996,-87.88932800446463
850739.0,Residential,2801126000.0,3274 N NEWHALL ST,3.0,3150.0,Res O/S A & 1/2,1.5,1922.0,7.0,,1.0,2.0,1.0,1.0,3600.0,3/31/2020,245000.0,"3274 N NEWHALL ST,Milwaukee,wisconsin",43.077296450000006,-87.8899776626549
853627.0,Residential,2801130000.0,1613 E HARTFORD AV,3.0,3150.0,Residence O/S 2sty+,2.0,1901.0,6.0,,1.0,3.0,1.0,0.0,2700.0,6/24/2020,155000.0,"1613 E HARTFORD AV,Milwaukee,wisconsin",43.077505099999996,-87.88970246882592
853056.0,Residential,2801149000.0,3200-3202 N BARTLETT AV,3.0,3150.0,Triplex,2.0,1910.0,15.0,,3.0,7.0,3.0,0.0,3600.0,6/5/2020,347500.0,"3200-3202 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.88910878067233
851365.0,Residential,2801192000.0,3320 N BARTLETT AV,3.0,3150.0,Res O/S A & 1/2,1.0,1898.0,7.0,,1.0,3.0,1.0,0.0,3600.0,4/6/2020,226500.0,"3320 N BARTLETT AV,Milwaukee,wisconsin",43.078184750000005,-87.88871128813241
856526.0,Residential,2801194000.0,3328 N BARTLETT AV,3.0,3150.0,Residence O/S 2sty+,2.0,1880.0,6.0,,1.0,3.0,1.0,1.0,3600.0,8/12/2020,279000.0,"3328 N BARTLETT AV,Milwaukee,wisconsin",43.078351850000004,-87.88872125345557
848039.0,Residential,2801197000.0,3340 N BARTLETT AV,3.0,3150.0,Duplex O/S,1.5,1909.0,9.0,,2.0,4.0,2.0,0.0,3600.0,1/23/2020,230000.0,"3340 N BARTLETT AV,Milwaukee,wisconsin",43.0785793,-87.88874849502619
859089.0,Residential,2801201000.0,3356-3358 N BARTLETT AV,3.0,3150.0,Duplex O/S,2.0,1914.0,10.0,,2.0,4.0,2.0,0.0,3600.0,10/26/2020,285000.0,"3356-3358 N BARTLETT AV,Milwaukee,wisconsin",43.073762709552895,-87.88910878067233
852361.0,Residential,2801225000.0,3303 N BARTLETT AV,3.0,3150.0,Residence O/S 2sty+,2.0,1911.0,7.0,,1.0,4.0,1.0,0.0,2550.0,4/22/2020,220000.0,"3303 N BARTLETT AV,Milwaukee,wisconsin",43.07778465,-87.8892767424132
861726.0,Residential,2801237000.0,3350 N NEWHALL ST,3.0,3150.0,Residence O/S 2sty+,2.0,1908.0,7.0,,1.0,4.0,1.0,0.0,5400.0,11/10/2020,280000.0,"3350 N NEWHALL ST,Milwaukee,wisconsin",43.07880475,-87.8899547
856594.0,Residential,2801249000.0,3345 N NEWHALL ST,3.0,3150.0,Residence O/S 2sty+,2.0,1894.0,7.0,,1.0,4.0,1.0,0.0,5400.0,8/28/2020,285000.0,"3345 N NEWHALL ST,Milwaukee,wisconsin",43.0786485,-87.89048944633778
851245.0,Residential,2801282100.0,3457 N NEWHALL ST,3.0,3150.0,Dplx Bungalow,1.5,1925.0,9.0,,2.0,4.0,2.0,0.0,4122.0,4/21/2020,235000.0,"3457 N NEWHALL ST,Milwaukee,wisconsin",43.08086475,-87.89039469917859
855563.0,Residential,2801304000.0,3461 N BARTLETT AV,3.0,3150.0,Res O/S A & 1/2,1.5,1902.0,7.0,,1.0,4.0,2.0,0.0,3600.0,8/7/2020,325000.0,"3461 N BARTLETT AV,Milwaukee,wisconsin",43.080963499999996,-87.88923466880786
857632.0,Residential,2801505000.0,3169 N DOUSMAN ST,3.0,3320.0,Cape Cod,1.0,1955.0,4.0,,1.0,4.0,2.0,1.0,5310.0,9/18/2020,315000.0,"3169 N DOUSMAN ST,Milwaukee,wisconsin",43.07626715,-87.8967360253252
863551.0,Residential,2810104000.0,3265 N BREMEN ST,3.0,2880.0,Milwaukee Bungalow,1.0,1925.0,6.0,,1.0,3.0,1.0,0.0,0.0,12/23/2020,169000.0,"3265 N BREMEN ST,Milwaukee,wisconsin",43.077955599999996,-87.9004931758
853715.0,Residential,2810109000.0,3242 N FRATNEY ST,3.0,2880.0,Milwaukee Bungalow,1.0,1926.0,7.0,,1.0,4.0,3.0,0.0,3960.0,6/24/2020,261000.0,"3242 N FRATNEY ST,Milwaukee,wisconsin",43.077517400000005,-87.9011625
854544.0,Residential,2810113000.0,3260 N FRATNEY ST,3.0,2880.0,Milwaukee Bungalow,1.0,1926.0,6.0,,1.0,3.0,1.0,0.0,3960.0,7/10/2020,225000.0,"3260 N FRATNEY ST,Milwaukee,wisconsin",43.07788495,-87.90114894959162
858864.0,Residential,2810708000.0,3493-3495 N FRATNEY ST,3.0,2880.0,Dplx Bungalow,2.0,1917.0,13.0,,2.0,5.0,2.0,0.0,3741.0,10/16/2020,170000.0,"3493-3495 N FRATNEY ST,Milwaukee,wisconsin",43.05712940593258,-87.9012135412178
862004.0,Residential,2810785000.0,3473 N WEIL ST,3.0,3320.0,Milwaukee Bungalow,1.0,1926.0,6.0,,1.0,3.0,2.0,1.0,4920.0,12/16/2020,258000.0,"3473 N WEIL ST,Milwaukee,wisconsin",43.08133795,-87.89910177106742
862217.0,Residential,2810798100.0,3424 N BREMEN ST,3.0,3320.0,Duplex N/S,2.0,1958.0,8.0,,2.0,4.0,2.0,0.0,4712.0,9/2/2020,170000.0,"3424 N BREMEN ST,Milwaukee,wisconsin",43.08035935,-87.89982962475142
855087.0,Residential,2810798200.0,3428 N BREMEN ST,3.0,3320.0,Res O/S A & 1/2,1.0,1922.0,7.0,,1.0,3.0,2.0,0.0,3720.0,7/28/2020,203750.0,"3428 N BREMEN ST,Milwaukee,wisconsin",43.0804622,-87.89983572306342
853155.0,Residential,2810839000.0,3462 N WEIL ST,3.0,3320.0,Dplx Bungalow,1.5,1927.0,8.0,,2.0,3.0,2.0,0.0,3894.0,6/1/2020,175000.0,"3462 N WEIL ST,Milwaukee,wisconsin",43.0811463,-87.8985747905079
852804.0,Residential,2810841000.0,3472 N WEIL ST,3.0,3320.0,Dplx Bungalow,1.5,1927.0,11.0,,2.0,5.0,2.0,0.0,4366.0,6/1/2020,197000.0,"3472 N WEIL ST,Milwaukee,wisconsin",43.081320149999996,-87.8985316014456
859259.0,Residential,2810843000.0,3480 N WEIL ST,3.0,3320.0,Milwaukee Bungalow,1.0,1928.0,7.0,,1.0,4.0,1.0,1.0,3540.0,10/24/2020,215500.0,"3480 N WEIL ST,Milwaukee,wisconsin",43.0814769,-87.89853312956183
861856.0,Residential,2810975000.0,3044 N PIERCE ST,3.0,2880.0,Res O/S A & 1/2,1.0,1892.0,5.0,,1.0,2.0,3.0,0.0,3600.0,12/15/2020,189795.0,"3044 N PIERCE ST,Milwaukee,wisconsin",43.0739729,-87.90249242081396
856901.0,Residential,2810995000.0,3031 N BREMEN ST,3.0,2880.0,Residence O/S 2sty+,2.0,1906.0,10.0,,1.0,4.0,3.0,0.0,3600.0,8/18/2020,180500.0,"3031 N BREMEN ST,Milwaukee,wisconsin",43.0736251,-87.900558625
860542.0,Residential,2811098000.0,719-721 E CHAMBERS ST,3.0,2880.0,Duplex O/S,2.0,1913.0,11.0,,2.0,5.0,2.0,0.0,2700.0,11/18/2020,159900.0,"719-721 E CHAMBERS ST,Milwaukee,wisconsin",43.07378013220581,-87.89636558832188
854300.0,Residential,2811107000.0,2944 N PIERCE ST,3.0,2880.0,Duplex O/S,1.5,1903.0,9.0,,2.0,3.0,2.0,0.0,3600.0,7/18/2020,96000.0,"2944 N PIERCE ST,Milwaukee,wisconsin",43.07215065,-87.9025111249
850200.0,Residential,2811730000.0,803 E TOWNSEND ST,3.0,2880.0,Milwaukee Bungalow,1.0,1923.0,7.0,,1.0,2.0,2.0,0.0,3600.0,3/19/2020,195000.0,"803 E TOWNSEND ST,Milwaukee,wisconsin",43.0795887,-87.90117779134286
853096.0,Residential,2811736000.0,825 E TOWNSEND ST,3.0,3320.0,Dplx Bungalow,1.5,1924.0,10.0,,2.0,4.0,2.0,0.0,4320.0,6/1/2020,185900.0,"825 E TOWNSEND ST,Milwaukee,wisconsin",43.079563199999996,-87.9005049915404
851559.0,Residential,2811915000.0,3158 N PIERCE ST,3.0,2880.0,Res O/S A & 1/2,1.0,1910.0,5.0,,3.0,2.0,3.0,0.0,3600.0,4/21/2020,220000.0,"3158 N PIERCE ST,Milwaukee,wisconsin",43.0760411,-87.90245006077953
852682.0,Residential,2812008000.0,926 E TOWNSEND ST,3.0,3320.0,Dplx Bungalow,1.5,1925.0,9.0,,2.0,4.0,2.0,0.0,4440.0,9/8/2020,195000.0,"926 E TOWNSEND ST,Milwaukee,wisconsin",43.07994405,-87.89920651077693
850509.0,Residential,2812041000.0,3160 N BREMEN ST,3.0,2880.0,Duplex O/S,2.0,1907.0,10.0,,2.0,4.0,2.0,0.0,3600.0,5/19/2020,170400.0,"3160 N BREMEN ST,Milwaukee,wisconsin",43.0761089,-87.9000068141442
853068.0,Residential,2812071000.0,3160 N WEIL ST,3.0,2880.0,Milwaukee Bungalow,2.0,1927.0,10.0,,1.0,5.0,2.0,0.0,3840.0,6/1/2020,305000.0,"3160 N WEIL ST,Milwaukee,wisconsin",43.076059,-87.89877962419146
857245.0,Residential,3140010000.0,2724 N WEIL ST,3.0,2890.0,Res O/S A & 1/2,1.0,1899.0,7.0,,1.0,4.0,2.0,0.0,3600.0,9/17/2020,270000.0,"2724 N WEIL ST,Milwaukee,wisconsin",43.06804855,-87.89888775318408
859220.0,Residential,3140131000.0,2812-2814 N FRATNEY ST,3.0,2890.0,Dplx Bungalow,2.0,1923.0,11.0,,2.0,5.0,2.0,0.0,3600.0,10/19/2020,244000.0,"2812-2814 N FRATNEY ST,Milwaukee,wisconsin",43.062927208346,-87.90163198989849
854537.0,Residential,3140133000.0,2822 N FRATNEY ST,3.0,2890.0,Dplx Bungalow,1.5,1922.0,9.0,,2.0,4.0,2.0,0.0,3600.0,7/2/2020,196900.0,"2822 N FRATNEY ST,Milwaukee,wisconsin",43.069827200000006,-87.90132612442497
855264.0,Commercial,3140207000.0,1000 E LOCUST ST,3.0,6260.0,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1893.0,0.0,,6.0,2.0,0.0,0.0,3008.0,7/29/2020,452000.0,"1000 E LOCUST ST,Milwaukee,wisconsin",43.0712167,-87.8989519
855264.0,Commercial,3140207000.0,1000 E LOCUST ST,3.0,6260.0,"Store Bldg - Multi Story (Store & Apt, Store & Ofc",2.0,1893.0,0.0,,6.0,1.0,0.0,0.0,3008.0,7/29/2020,452000.0,"1000 E LOCUST ST,Milwaukee,wisconsin",43.0712167,-87.8989519
854391.0,Residential,3140327000.0,2870 N BREMEN ST,3.0,2890.0,Duplex O/S,2.0,1892.0,9.0,,2.0,6.0,2.0,0.0,3600.0,7/17/2020,216000.0,"2870 N BREMEN ST,Milwaukee,wisconsin",43.0708298,-87.9002124
859247.0,Residential,3140502100.0,2775 N BREMEN ST,3.0,2890.0,Duplex O/S,2.0,1905.0,8.0,,2.0,4.0,2.0,0.0,7320.0,10/2/2020,145000.0,"2775 N BREMEN ST,Milwaukee,wisconsin",43.069097850000006,-87.9006093
851116.0,Residential,3140506000.0,2759 N BREMEN ST,3.0,2890.0,Duplex O/S,1.0,1904.0,9.0,,2.0,4.0,3.0,0.0,3600.0,4/17/2020,168500.0,"2759 N BREMEN ST,Milwaukee,wisconsin",43.068769149999994,-87.90065005321219
