PropertyID,PropType,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,City,State,Country
175648.0,Residential,3.0,3330.0,Residence O/S,1.5,1911.0,8.0,2416.0,1.0,3.0,2.0,0.0,3636.0,5/31/2019,290000.0,"1121 E MEINECKE AV,Milwaukee,wisconsin",43.0618355,-87.8971573,Milwaukee,Wisconsin,United States of America
175737.0,Residential,3.0,3330.0,Duplex-Cottage,2.0,1891.0,9.0,1180.0,2.0,5.0,2.0,0.0,3000.0,9/13/2019,110500.0,"2424 N DOUSMAN ST,Milwaukee,wisconsin",43.062612,-87.8964359,Milwaukee,Wisconsin,United States of America
175781.0,Residential,3.0,3190.0,Duplex O/S,2.0,1892.0,10.0,2106.0,2.0,4.0,2.0,0.0,2370.0,1/15/2019,215000.0,"2343-2345 N OAKLAND AV,Milwaukee,wisconsin",43.065335,-87.8880053,Milwaukee,Wisconsin,United States of America
175821.0,Condominium,3.0,5782.0,Condo Townhouse,3.0,2001.0,6.0,2149.0,1.0,3.0,2.0,1.0,1.0,8/23/2019,335000.0,"1619 E PARK PL,Milwaukee,wisconsin",43.0672211,-87.8900766,Milwaukee,Wisconsin,United States of America
175823.0,Residential,3.0,3330.0,Duplex O/S,2.0,1900.0,10.0,2527.0,2.0,4.0,3.0,0.0,2425.0,2/5/2019,194900.0,"1113-1115 E WRIGHT ST,Milwaukee,wisconsin",43.0638873,-87.9074567,Milwaukee,Wisconsin,United States of America
175892.0,Residential,3.0,2890.0,Cottage,1.0,1892.0,7.0,1662.0,1.0,2.0,2.0,0.0,2775.0,9/20/2019,179500.0,"814 E WRIGHT ST,Milwaukee,wisconsin",43.0640066,-87.901082,Milwaukee,Wisconsin,United States of America
175893.0,Residential,3.0,2890.0,Triplex,1.0,1891.0,12.0,2176.0,3.0,5.0,2.0,0.0,2775.0,4/29/2019,167500.0,"810-812 E WRIGHT ST,Milwaukee,wisconsin",43.0638873,-87.9074567,Milwaukee,Wisconsin,United States of America
175894.0,Residential,3.0,2890.0,Cottage,1.5,1890.0,7.0,1582.0,1.0,3.0,1.0,1.0,2775.0,1/23/2019,215000.0,"808 E WRIGHT ST,Milwaukee,wisconsin",43.064001,-87.9012643,Milwaukee,Wisconsin,United States of America
175925.0,Residential,3.0,2890.0,Duplex-Cottage,1.5,1889.0,8.0,1648.0,2.0,3.0,2.0,0.0,3219.0,9/14/2019,160000.0,"828 E WRIGHT ST,Milwaukee,wisconsin",43.064011,-87.9007013,Milwaukee,Wisconsin,United States of America
175970.0,Residential,3.0,2890.0,Cottage,1.0,1908.0,7.0,1530.0,1.0,3.0,1.0,1.0,3000.0,3/26/2019,182000.0,"2459 N FRATNEY ST,Milwaukee,wisconsin",43.0633246,-87.9019008,Milwaukee,Wisconsin,United States of America
175974.0,Residential,3.0,2890.0,Duplex-Cottage,1.5,1908.0,8.0,1540.0,2.0,3.0,1.0,0.0,3000.0,3/7/2019,110300.0,"2443 N FRATNEY ST,Milwaukee,wisconsin",43.0630429,-87.9018946,Milwaukee,Wisconsin,United States of America
175983.0,Residential,3.0,2890.0,Cottage,1.0,1891.0,8.0,1150.0,1.0,5.0,1.0,0.0,1530.0,11/4/2019,109900.0,"707 E WRIGHT ST,Milwaukee,wisconsin",43.0637189,-87.902534,Milwaukee,Wisconsin,United States of America
176028.0,Residential,3.0,2890.0,Duplex-Cottage,1.0,1900.0,8.0,1429.0,2.0,3.0,1.0,0.0,2227.0,1/31/2019,91775.0,"2415 N FRATNEY ST,Milwaukee,wisconsin",43.0624263,-87.9018571,Milwaukee,Wisconsin,United States of America
176037.0,Residential,3.0,2890.0,Cottage,1.0,1900.0,8.0,1314.0,1.0,3.0,1.0,0.0,3720.0,9/19/2019,180000.0,"2422 N PIERCE ST,Milwaukee,wisconsin",43.0626385,-87.9026105,Milwaukee,Wisconsin,United States of America
176050.0,Residential,3.0,2890.0,Duplex O/S,1.5,1890.0,10.0,1925.0,2.0,4.0,2.0,0.0,3600.0,8/27/2019,249900.0,"814 E MEINECKE AV,Milwaukee,wisconsin",43.0621917,-87.9011291,Milwaukee,Wisconsin,United States of America
