Join_Count,TARGET_FID,PropertyID,PropType,taxkey,Address,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,AREA
1,1,863164.000000000000000,Residential,2780035000.000000000000000,3102 N HACKETT AV,3.000000000000000,3060.000000000000000,Mansion,2.000000000000000,1922.000000000000000,11.000000000000000,,1.000000000000000,5.000000000000000,3.000000000000000,2.000000000000000,8400.000000000000000,12/24/2020,690000.000000000000000,"3102 N HACKETT AV,Milwaukee,wisconsin",43.074922850000000,-87.876505418891398,310.808371018000003
1,2,855891.000000000000000,Residential,2780058000.000000000000000,3218 N DOWNER AV,3.000000000000000,3160.000000000000000,Duplex N/S,2.000000000000000,1958.000000000000000,12.000000000000000,,2.000000000000000,7.000000000000000,3.000000000000000,1.000000000000000,5160.000000000000000,8/5/2020,377600.000000000000000,"3218 N DOWNER AV,Milwaukee,wisconsin",43.076112550000005,-87.877580074771430,147.531235474999988
1,3,850562.000000000000000,Residential,2780073000.000000000000000,3234 N HACKETT AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1906.000000000000000,10.000000000000000,,1.000000000000000,6.000000000000000,3.000000000000000,0.000000000000000,6000.000000000000000,3/24/2020,449000.000000000000000,"3234 N HACKETT AV,Milwaukee,wisconsin",43.076458400000000,-87.876440505756477,134.644470046000009
1,4,852109.000000000000000,Residential,2780076000.000000000000000,3235 N SHEPARD AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1908.000000000000000,9.000000000000000,,1.000000000000000,5.000000000000000,1.000000000000000,1.000000000000000,4200.000000000000000,4/28/2020,303000.000000000000000,"3235 N SHEPARD AV,Milwaukee,wisconsin",43.076449949999997,-87.874725003792349,120.952958396000000
1,5,852020.000000000000000,Residential,2780099000.000000000000000,3218 N SHEPARD AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1904.000000000000000,9.000000000000000,,1.000000000000000,4.000000000000000,3.000000000000000,1.000000000000000,4800.000000000000000,5/7/2020,494000.000000000000000,"3218 N SHEPARD AV,Milwaukee,wisconsin",43.076120199999998,-87.874173350000007,109.889064266999995
1,6,857950.000000000000000,Residential,2780107000.000000000000000,3004 E HAMPSHIRE ST,3.000000000000000,3060.000000000000000,Colonial,2.000000000000000,1905.000000000000000,9.000000000000000,,1.000000000000000,5.000000000000000,2.000000000000000,1.000000000000000,4360.000000000000000,9/30/2020,450000.000000000000000,"3004 E HAMPSHIRE ST,Milwaukee,wisconsin",43.075793050000001,-87.873014784057148,146.085257691000010
1,7,853746.000000000000000,Residential,2780111000.000000000000000,3224 N MARIETTA AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1904.000000000000000,7.000000000000000,,1.000000000000000,3.000000000000000,1.000000000000000,0.000000000000000,3840.000000000000000,6/30/2020,328900.000000000000000,"3224 N MARIETTA AV,Milwaukee,wisconsin",43.076229650000002,-87.873058974094207,84.239457723499996
1,8,856623.000000000000000,Residential,2780252000.000000000000000,3258 N SHEPARD AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1904.000000000000000,7.000000000000000,,1.000000000000000,4.000000000000000,2.000000000000000,1.000000000000000,4800.000000000000000,8/26/2020,370000.000000000000000,"3258 N SHEPARD AV,Milwaukee,wisconsin",43.076931750000000,-87.874144210491409,146.926859099000012
0,9,858939.000000000000000,Residential,2780256000.000000000000000,3278-3280 N SHEPARD AV,3.000000000000000,3060.000000000000000,Duplex O/S,2.000000000000000,1909.000000000000000,14.000000000000000,,2.000000000000000,6.000000000000000,2.000000000000000,0.000000000000000,4800.000000000000000,10/14/2020,367500.000000000000000,"3278-3280 N SHEPARD AV,Milwaukee,wisconsin",43.070989338433364,-87.874550564427210,
0,10,849993.000000000000000,Residential,2780292000.000000000000000,3319-3321 N HACKETT AV,3.000000000000000,3060.000000000000000,Dplx Bungalow,2.000000000000000,1920.000000000000000,13.000000000000000,,2.000000000000000,7.000000000000000,4.000000000000000,0.000000000000000,4800.000000000000000,3/16/2020,425000.000000000000000,"3319-3321 N HACKETT AV,Milwaukee,wisconsin",43.075196620201687,-87.876748145795275,
1,11,855890.000000000000000,Residential,2780612000.000000000000000,3405 N LAKE DR,3.000000000000000,3060.000000000000000,Mansion,2.000000000000000,1917.000000000000000,11.000000000000000,,1.000000000000000,3.000000000000000,4.000000000000000,2.000000000000000,30240.000000000000000,8/13/2020,1200000.000000000000000,"3405 N LAKE DR,Milwaukee,wisconsin",43.079643000000004,-87.873051294999996,352.376276874999974
1,12,858737.000000000000000,Residential,2780617000.000000000000000,3444 N SHEPARD AV,3.000000000000000,3060.000000000000000,Mansion,2.000000000000000,1918.000000000000000,10.000000000000000,,1.000000000000000,4.000000000000000,3.000000000000000,2.000000000000000,16118.000000000000000,10/15/2020,1016500.000000000000000,"3444 N SHEPARD AV,Milwaukee,wisconsin",43.080566050000002,-87.873967284959377,374.661221128000022
1,13,857496.000000000000000,Residential,2780620000.000000000000000,3470 N SHEPARD AV,3.000000000000000,3060.000000000000000,Residence O/S 2sty+,2.000000000000000,1925.000000000000000,10.000000000000000,,1.000000000000000,5.000000000000000,3.000000000000000,2.000000000000000,6500.000000000000000,9/15/2020,900000.000000000000000,"3470 N SHEPARD AV,Milwaukee,wisconsin",43.081157750000003,-87.873955859640418,147.841929096000001
